N п/п;Название;Адрес, местоположение, кадастровый номер (при наличии);Зарегистрированные права;Примечание
173;Памятный знак тольяттинским воинам, погибшим при исполнении служебного долга на Кавказе;Автозаводский район, северо-восточнее здания, имеющего адрес: ул. Юбилейная, 24, строение 1  (земельный участок с кадастровым номером 63:09:0101177:5);Муниципальная собственность, бессрочное пользование;
174;"Памятник ""Воинам-афганцам"" БМП";Автозаводский район, на территории Парка Победы, северо-восточнее здания, имеющего адрес: ул. Юбилейная, 24 (земельный участок с кадастровым номером 63:09:0101177:5);Муниципальная собственность, бессрочное пользование;
175;Берегоукрепление мкр Шлюзовой;Гидротехсооружение вдоль ул. Носова;Государственная собственность не разграничена;
176;Памятник В.И. Денисову;Мкр. Поволжский, территория площади В.И. Денисова;Сведения об официальной установке памятника отсутствуют;Сведений нет
177;"Речное судно на подводных крыльях ""Спутник""";Ул. Коммунистическая, 90;Собственность Российской Федерации;
178;Памятник-горельеф Ульяны Громовой - Героя Советского Союза;Территория севернее здания, имеющего адрес: ул. Громовой, 16 (земельный участок с кадастровым номером 63:09:0204069:919);Муниципальная собственность;Недвижимое имущество
179;Памятный знак-указатель улицы Л. Чайкиной - Героя Советского Союза;Пересечение ул. Ярославской и ул. Л. Чайкиной;Государственная собственность не разграничена;
180;Памятный знак-указатель улицы А. Матросова - Героя Советского Союза;Пересечение ул. Коммунистической и ул. Матросова;Государственная собственность не разграничена;
181;"Горельеф ""Прощанье""";Мкр Федоровка, ул. Ингельберга, 1В (земельный участок с кадастровым номером 63:09:0201061:3145);Муниципальная собственность;Недвижимое имущество
182;Пояснение названия улицы именем ставропольчанина, Героя Великой Отечественной войны 1941 - 1945 гг. В.П. Носова;Ул. Носова, 10 (земельный участок с кадастровым номером 63:09:0201060:730);Муниципальная собственность;
183;Мемориал Е.А. Никонова - Героя Советского Союза;Комсомольский район, юго-западнее пересечения ул. Никонова и ул. Шлюзовой (земельный участок с кадастровым номером 63:09:0201060:14209);Муниципальная собственность;
184;Мемориальная доска на доме, в котором жил Герой Советского Союза К.Н. Викторов;Ул. Никонова, 38. 63:09:0202054:602;Общедолевая собственность;Многоквартирный жилой дом
185;Мемориальный комплекс, посвященный Великой Отечественной войне (Камень и стена с барельефами, танк);Мкр Поволжский, ул. 60 лет СССР, 17, территория площади им. В.И. Денисова;Государственная собственность не разграничена;
186;Памятник-стела жертвам геноцида армянского народа;Майский пр-д, 7, территория МБУ СОШ N 11 (земельный участок с кадастровым номером 63:09:0201062:14);Муниципальная собственность;
187;"Памятная доска о строительстве я/с ""Машенька"" в год 70-летия Великой Октябрьской Социалистической революции";Ул. Гидротехническая, 21 (земельный участок с кадастровым номером 63:09:0201060:40);Муниципальная собственность;
188;Памятная доска ДСК Спецжилстроя о постройке 5 000 000 кв. м жилья в 1985 - 1986 гг.;Ул. Гидротехническая, 27. (земельный участок с кадастровым номером 63:09:0201060:932);Общедолевая собственность;Многоквартирный жилой дом
189;Мемориальная доска на доме, в котором жил герой Российской Федерации В.П. Носов;Пионерский проезд, 7;;Индивидуальный жилой дом
190;Мемориальная доска на школе, где учился С.В. Моисеев, участник афганской войны;Ул. Ставропольская, 19, фасад здания МОУ СОШ N 23 (земельный участок с кадастровым номером 63:09:0301083:517);Муниципальная собственность. В бессрочном пользовании МБУ СОШ N 23;
191;Мемориальная доска О.В. Горбунову, участнику афганской войны;"Ул. Тухачевского, 6, территория МОУ ДОД ""Детский морской центр""";;
192;Мемориальная доска Н.А. Калинину, участнику чеченской войны;"Ул. Тухачевского, 6, территория МОУ ДОД ""Детский морской центр""";;
193;Мемориальная доска на школе, где учился Ю.С. Сидоренко, участник афганской войны;Ул. Ставропольская, 19, фасад здания МОУ СОШ N 23 (земельный участок с кадастровым номером 63:09:0301083:517);Муниципальная собственность. В бессрочном пользовании МБУ СОШ N 23;
194;Памятный знак-указатель улицы К. Вавиловой;Пересечение ул. Ленина и ул. Вавиловой;Государственная собственность не разграничена;
