title;address;"CONCAT(pe.phone, ' ')";director;department
"Муниципальное бюджетное образовательное учреждение дополнительного образования ""Дом учащейся молодежи ""Мечта"" городского округа Тольятти";"445005 г. Тольятти, ул. Гидротехническая, 37";45-18-77  ;Хмель Татьяна Александровна ;Департамент образования
Муниципальное бюджетное образовательное учреждение дополнительного образования детей Дом учащейся молодежи «Икар» городского округа Тольятти;"445015 г. Тольятти, ул. Носова, 21";45-02-52 ;Кирдянова Анна Александровна;Департамент образования
Муниципальное бюджетное образовательное учреждение дополнительного образования «Гранит» городского округа Тольятти;"445013 г. Тольятти, ул Телеграфная, 4";97-52-46 ;Завьялов Павел Алексеевич;Департамент образования
"Муниципальное бюджетное образовательное учреждение дополнительного образования ""Гуманитарный центр интеллектуального развития"" городского округа Тольятти";"445012 г. Тольятти, ул Чайкиной, 87";37-94-99 ;Хаирова Анастасия Викторовна;Департамент образования
"Муниципальное бюджетное дошкольное образовательное учреждение детский сад №16 ""Машенька"" городского округа Тольятти";"445005 г. Тольятти, ул. Гидротехническая, 21";45-12-96  ;Захарьева Алия Джафаровна;Департамент образования
Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 23 «Волжские капельки» городского округа Тольятти;"445005 г. Тольятти, ул. Шлюзовая, 37";45-16-74 ;Жаборовская Людмила Николаевна;Департамент образования
Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 33 «Мечта» городского округа Тольятти;"445046 г. Тольятти, ул. Мурысева, 47 ";24-55-74 24-05-63  ;Мартынова Елена Александровна;Департамент образования
"Муниципальное автономное дошкольное образовательное учреждение детский сад  № 69 ""Веточка"" городского округа Тольятти";"445012 г. Тольятти, ул. Матросова, 26 ";24-61-09  ;Грекова Екатерина Александровна ;Департамент образования
"Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 125 ""Росточек"" городского округа Тольятти";"445041 г. Тольятти, ул. Железнодорожная, 7";45-01-85  ;Щеглова Светлана Анатольевна;Департамент образования
"Муниципальное бюджетное дошкольное образовательное учреждение детский сад  № 138 ""Дубравушка"" городского округа Тольятти";"445052 г.Тольятти ул. Полевая, 20";48-78-79  ;Вершинина Елена Васильевна;Департамент образования
"Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 147 ""Сосенка"" городского округа Тольятти";"445046 г. Тольятти, ул. Громовой, 2";24-50-30 ;Ибрагимова Халида Мязгутовна;Департамент образования
