№ п/п;Номер в реестре;Кадастровый номер;Вид объекта;Наименование;Адрес;Площадь (текущая);Вид права
1503;П1300000014288;63:09:0201062:5859;Нежилое помещение;Нежилое помещение на 2 этаже поз. №№ 17, 18, 19,  20;Самарская область, Комсомольский район, г. Тольятти, проезд Майский, д. 1, пом. 2017;18,6;Казна
1504;П1300000011228;63:09:0301109:1016;Нежилое помещение;"насосная станция ливневых стоков, на - 3 эт. № 1; - 2 эт. № 1; - 1 эт. № 1; + 1 эт. № 1, 2, 3, 4, 5, 6, 7, 8, 10, 11";Самарская область, Центральный район, г. Тольятти, ул. Баныкина, д. 45;425,9;Казна
1505;П1300000013861;63:09:0301146:2699;Нежилое помещение;Нежилое помещение 1012: 1 этаж, поз. №№ 11, 12, 14, 15а, 15б, 15в, 16, 17, 38;Самарская область, Центральный район, г. Тольятти, ул. Комсомольская, д. 40, комн. 1012;174,9;Казна
1506;П1300000013076;63:09:0301115:4202;Нежилое помещение;Нежилое помещение: 1 этаж, поз. №№ 24-31, 81, 82;Самарская область, Центральный район, г. Тольятти, ул. Голосова, д. 113;59,9;Казна
1507;П1300000013670;63:09:0301114:1107;Нежилое помещение;Нежилое помещение н1 - 1 этаж поз. № 3 - ЦТП № 9, поз. № 4 санузел;Самарская область, Центральный район, г. Тольятти, б-р Ленина, д. 19, стр. А;211,6;Казна
1508;П1300000013366;63:09:0101170:10493;Нежилое помещение;Нежилое помещение:1 этаж, поз. №№ 8, 9, 10, 11, 12, 13;Самарская область, Автозаводский район, г. Тольятти, ул. Фрунзе, д. 31;42,3;Казна
1509;П1300000009899;63:09:0101170:1787;Нежилое помещение;Нежилое помещение: на + 1 этаже № 9, 10, 11, 12, 13, 14, 14а, 15, 16, 17, 18;Самарская область, Автозаводский район, г. Тольятти, пр-кт Степана Разина, д. 40;103,4;Казна
1510;П1300000012133;;Нежилое помещение;3 этаж, поз. № 2, 2а, 3, 4, 4а, 4б, 6, 7, 8, 8а, 9, 9а, 10-15, 17, 18, 18а, 19, 20, 21, 21а, 25-28;Самарская область, Автозаводский район, г. Тольятти, ул. Свердлова, д. 10;382,9;Казна
1511;П1010000075747;63:09:0101162:11790;Нежилое помещение;Нежилое помещение 1002: 15 этаж, поз. №№ 1-6;Самарская область, Автозаводский район, г. Тольятти, пр-кт Степана Разина, д. 7;113;Казна
1512;П1300000010422;63:09:0301138:3724;Нежилое помещение;Нежилое помещение: на + 1 этаже № 4, 5, 6, 7, 7а, 8, 8а;Самарская область, Центральный район, г. Тольятти, ул. Ленина, д. 57;53,7;Казна
1513;П1300000011113;63:09:0201059:1122;Нежилое помещение;Нежилое помещение Б/Н (1004): -1 этаж, поз.  № 22а, 22б, 22в, 22г, 23;Самарская область, Комсомольский район, г. Тольятти, ул. Лизы Чайкиной, д. 81, пом. Б/Н (1004);67,5;Казна
1514;П1300000009481;63:09:0101150:11347;Нежилое помещение;3 этаж, поз. № 22, 23, 23а;Самарская область, Автозаводский район, г. Тольятти, ул. Свердлова, д. 10;69;Казна
1515;П1300000011033;63:09:0301173:4187;Нежилое помещение;Нежилое помещение: + 1 этаж № 17-28;Самарская область, Центральный район, г. Тольятти, ул. Ленина, д. 77;138,4;Казна
1516;П1300000009698;63:09:0101164:750;Нежилое помещение;Нежилое помещение 1 этаж, поз. № 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306;Самарская область, Автозаводский район, г. Тольятти, ул. Революционная, д. 11, корп. 2 пом.Б/Н (125);251,3;Казна
1517;П1300000014427;63:09:0101171:2398;Нежилое помещение;нежилое помещение 1067;Самарская область, Автозаводский район, г. Тольятти, ул. Фрунзе, д. 10;74,5;Казна
1518;П1300000009520;63:09:0101180:10600;Нежилое помещение;"Нежилое помещение (МОП), 1 этаж, поз. № 32, 34;  2 этаж, поз. № 10, 45, 46, 47";Самарская область, Автозаводский район, г. Тольятти, б-р Приморский, д. 31;126,9;Казна
1519;П1300000010193;63:09:0201059:13896;Нежилое помещение;Нежилое помещение: - 1 этаж, поз. № 9-32;Самарская область, Комсомольский район, г. Тольятти, ул. Матросова, д. 46;523,7;Казна
1520;П1010000059432;63:09:0101180:10983;Нежилое помещение;Нежилое помещение 148;Самарская область, Автозаводский район, г. Тольятти, б-р Приморский, д. 21, комн. 148;65;Казна
1521;П1300000012858;63:09:0101169:6592;Нежилое помещение;3 этаж, поз. №  12, 13, 14, 15;Самарская область, Автозаводский район, г. Тольятти, ул. Маршала Жукова, д. 26;61,5;Казна
1522;П1300000013357;63:09:0101164:2003;Нежилое помещение;Нежилое помещение (1 этаж поз. № 324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,476);Самарская область, Автозаводский район, г. Тольятти, ул. Революционная, д. 11, корп. 2;195,1;Казна
1523;П1010000069179;63:09:0101154:2671;Нежилое помещение;Нежилое помещение 1002;Самарская область, Автозаводский район, г. Тольятти, ул. Тополиная, д. 41, помещение 1002;28,9;Казна
1524;П1300000010817;63:09:0301104:1318;Нежилое помещение;Нежилое помещение;Самарская область, Центральный район, г. Тольятти, ул. Республиканская, д. 12, пом. 1004;30,7;Казна
1525;П1300000009467;63:09:0201060:15543;Нежилое помещение;Нежилое помещение: на + 1 эт. № 20-26;Самарская область, Комсомольский район, г. Тольятти, ул. Железнодорожная, д. 23;57,9;Казна
1526;П1300000010249;63:09:0301174:1522;Нежилое помещение;Нежилое помещение  Б/Н (1000): 1 этаж № 58, 59, 60, 60а;Самарская область, Центральный район, г. Тольятти, ул. Победы, д. 23, пом. Б/Н (1000);51,9;Казна
1527;П1300000010368;63:09:0301106:1434;Нежилое помещение;Нежилое помещение: 1 этаж, поз. №№ 2, 3, 4, 5, 6, 7, 8, 9;Самарская область, Центральный район, г. Тольятти, ул. Ленинградская, д. 27;66,2;Казна
1528;П1300000008954;63:09:0201057:15503;Нежилое помещение;Нежилое помещение: -1 этаж, поз. №№ 1, 2, 3, 4, 5, 6, 7, 8, 9, 10;Самарская область, Комсомольский район, г. Тольятти, ул. Коммунистическая, д. 61;134;Казна
