№ п/п;Номер в реестре;Кадастровый номер;Вид объекта;Наименование;Адрес;Площадь (текущая);Вид права
63;П1300000005683;63:09:0101150:801;Нежилое здание;Тяговая подстанция № 17;Самарская область, г. Тольятти, ул. Автостроителей, д. 104-А;537,2;Хозяйственное ведение
64;П1300000007805;63:09:0101151:588;Нежилое здание;Школа;Самарская область, Автозаводский район, г. Тольятти, ул. 40 лет Победы, д. 74;10857,4;Оперативное управление
65;П1300000008831;63:09:0101151:5881;Нежилое здание;ЦТП № 141;Самарская область, Автозаводский район, г. Тольятти, ул. 40 лет Победы, д. 62, стр. А;101,4;Казна
66;П1300000007975;63:09:0101151:5882;Нежилое здание;Школа;Самарская область, Автозаводский район, г. Тольятти, ул. 40 лет Победы, д. 86;9228,1;Оперативное управление
67;П1300000007110;63:09:0101151:5883;Нежилое здание;Хозблок;Самарская область, Автозаводский район, г. Тольятти, ул. 40 лет Победы, д. 86;113,2;Оперативное управление
68;П1300000008832;63:09:0101151:5884;Нежилое здание;ЦТП № 142;Самарская область, Автозаводский район, г. Тольятти, ул. 40 лет Победы, д. 78, стр. А;136,3;Казна
69;П1300000009354;63:09:0101151:5886;Нежилое здание;Овощехранилище детского сада № 193;Самарская область, Автозаводский район, г. Тольятти, ул. Дзержинского, д. 11, стр. А;53,6;Казна
70;П1300000012465;63:09:0101151:5887;Нежилое здание;Детский сад  № 193;Самарская область, Автозаводский район, г. Тольятти, ул. Дзержинского, д. 11, стр. А;2547,6;Казна
71;П1300000009288;63:09:0101151:5888;Нежилое здание;Склад;Самарская область, Центральный район, г. Тольятти, ул. Победы, д. 64;72;Оперативное управление
72;П1300000008993;63:09:0101151:5890;Нежилое здание;Склад, гараж;Самарская область, Центральный район, г. Тольятти, ул. Победы, д. 76;113,8;Оперативное управление
73;П1300000008549;63:09:0101151:5891;Нежилое здание;Начальная школа-детский сад № 51;Самарская область, Центральный район, г. Тольятти, ул. Победы, д. 64;2019;Оперативное управление
74;П1300000008360;63:09:0101151:5895;Нежилое здание;Детский сад;Самарская область, Центральный район, г. Тольятти, ул. Победы, д. 76;3044,1;Оперативное управление
75;П1300000006730;63:09:0101151:6285;Нежилое здание;Хозблок;Самарская область, Автозаводский район, г. Тольятти, ул. 40 лет Победы, д. 74;119,8;Оперативное управление
76;П1300000009083;63:09:0101152:11060;Нежилое здание;Склад-гараж;Самарская область, Автозаводский район, г. Тольятти, ул. Ворошилова, д. 3, стр.;46,4;Оперативное управление
77;П1300000012450;63:09:0101152:11348;Нежилое здание;Детский сад  № 201;Самарская область, Автозаводский район, г. Тольятти, б-р Космонавтов, д. 10;5453,9;Казна
78;П1300000008839;63:09:0101152:11349;Нежилое здание;ЦТП № 153;Самарская область, Автозаводский район, г. Тольятти, б-р Космонавтов, д. 24, стр. А;103;Казна
79;П1300000008827;63:09:0101152:11350;Нежилое здание;ЦТП № 152;Самарская область, Автозаводский район, г. Тольятти, б-р Космонавтов, д. 5, стр. А;98;Казна
80;П1300000012451;63:09:0101152:11352;Нежилое здание;Овощехранилище;Самарская область, Автозаводский район, г. Тольятти, б-р Космонавтов, д. 10, стр.;168,9;Казна
81;П1300000008836;63:09:0101152:11353;Нежилое здание;ЦТП № 151;Самарская область, Автозаводский район, г. Тольятти, б-р Космонавтов, д. 12, стр. А;100,7;Казна
82;П1300000012463;63:09:0101152:11354;Нежилое здание;Детский сад  № 194;Самарская область, Автозаводский район, г. Тольятти, б-р Космонавтов, д. 20;3854,5;Казна
83;П1300000012464;63:09:0101152:11355;Нежилое здание;Овощехранилище;Самарская область, Автозаводский район, г. Тольятти, б-р Космонавтов, д. 20, стр.;84,6;Казна
84;П1300000012468;63:09:0101152:11357;Нежилое здание;Овощехранилище детского сада № 203;Самарская область, Автозаводский район, г. Тольятти, ул. Дзержинского, д. 40, стр.;166,4;Казна
85;П1300000008976;63:09:0101152:11358;Нежилое здание;Овощехранилище;Самарская область, Автозаводский район, г. Тольятти, ул. Ворошилова, д. 13;92,1;Оперативное управление
86;П1300000008975;63:09:0101152:11359;Нежилое здание;Детский сад № 195;Самарская область, Автозаводский район, г. Тольятти, ул. Ворошилова, д. 13;2585,2;Оперативное управление
87;П1300000009005;63:09:0101152:11360;Нежилое здание;Овощехранилище;Самарская область, Автозаводский район, г. Тольятти, ул. Ворошилова, д. 14, стр. 1;50,4;Казна
88;П1300000008962;63:09:0101152:11361;Нежилое здание;Хозблок;Самарская область, Автозаводский район, г. Тольятти, ул. Ворошилова, д. 21, стр.;117,6;Оперативное управление
89;П1300000007973;63:09:0101152:11362;Нежилое здание;Школа;Самарская область, Автозаводский район, г. Тольятти, ул. Ворошилова, д. 21;10915,6;Оперативное управление
90;П1300000012496;63:09:0101152:11363;Нежилое здание;Детский сад  № 157;Самарская область, Автозаводский район, г. Тольятти, ул. Ворошилова, д. 14;3916,5;Казна
91;П1300000012469;63:09:0101152:11364;Нежилое здание;Детский сад  № 203;Самарская область, Автозаводский район, г. Тольятти, ул. Дзержинского, д. 40;4967,8;Казна
92;П1300000007809;63:09:0101152:11856;Нежилое здание;Школа;Самарская область, Автозаводский район, г. Тольятти, ул. Ворошилова, д. 3;12705,1;Оперативное управление
93;П1300000008712;63:09:0101152:11857;Нежилое здание;Хозблок;Самарская область, Автозаводский район, г. Тольятти, б-р Космонавтов, д. 17;130,1;Оперативное управление
94;П1300000005840;63:09:0101152:672;Нежилое здание;Нежилое здание;Самарская область, Автозаводский район, г. Тольятти, б-р Космонавтов, д. 23;768,6;Оперативное управление
95;П1300000006223;63:09:0101152:675;Нежилое здание;Хозблок;Самарская область, Автозаводский район, г. Тольятти, ул. Ворошилова, д. 3;122,5;Оперативное управление
96;П1300000007970;63:09:0101152:690;Нежилое здание;Школа;Самарская область, Автозаводский район, г. Тольятти, б-р Космонавтов, д. 17;10782,5;Оперативное управление
97;П1300000005482;63:09:0101152:697;Нежилое здание;Школа искусств;Самарская область, Автозаводский район, г. Тольятти, ул. Автостроителей, д. 26;1212;Оперативное управление
98;П1300000009779;63:09:0101153:12503;Нежилое здание;Хозблок;Самарская область, Автозаводский район, г. Тольятти, б-р Цветной, д. 13, стр.;115,2;Оперативное управление
99;П1300000007937;63:09:0101153:12703;Нежилое здание;Хозблок;Самарская область, Автозаводский район, г. Тольятти, б-р Цветной, д. 18;114,1;Оперативное управление
100;П1300000007777;63:09:0101153:12930;Нежилое здание;Здание (лит. А) - детский сад-школа;Самарская область, Автозаводский район, г. Тольятти, ул. 70 лет Октября, д. 44;3340,2;Оперативное управление
101;П1300000008834;63:09:0101153:12933;Нежилое здание;ЦТП № 162;Самарская область, Автозаводский район, г. Тольятти, б-р Цветной, д. 20, стр. А;103,5;Казна
102;П1300000012475;63:09:0101153:12934;Нежилое здание;Овощехранилище;Самарская область, Автозаводский район, г. Тольятти, б-р Цветной, д. 24, стр.;95,7;Казна
103;П1300000012476;63:09:0101153:12936;Нежилое здание;Детский сад  № 207;Самарская область, Автозаводский район, г. Тольятти, б-р Цветной, д. 24;3383;Казна
104;П1300000009038;63:09:0101153:12937;Нежилое здание;Хозблок;Самарская область, Автозаводский район, г. Тольятти, ул. Тополиная, д. 5, стр.;288,7;Оперативное управление
105;П1300000007408;63:09:0101153:12938;Нежилое здание;Школа;Самарская область, Автозаводский район, г. Тольятти, ул. Тополиная, д. 5;12237,4;Оперативное управление
106;П1300000008835;63:09:0101153:12940;Нежилое здание;ЦТП № 161;Самарская область, Автозаводский район, г. Тольятти, б-р Цветной, д. 4, стр. А;130,1;Казна
107;П1300000008830;63:09:0101153:12942;Нежилое здание;ЦТП № 171;Самарская область, Автозаводский район, г. Тольятти, ул. Тополиная, д. 25, стр. Б;129,3;Казна
108;П1300000007798;63:09:0101153:12948;Нежилое здание;Школа;Самарская область, Автозаводский район, г. Тольятти, ул. Дзержинского, д. 39;7706,4;Оперативное управление
109;П1300000006966;63:09:0101153:12949;Нежилое здание;Детский сад;Самарская область, Автозаводский район, г. Тольятти, ул. Дзержинского, д. 1;3857,1;Оперативное управление
110;П1300000006504;63:09:0101153:12950;Нежилое здание;Овощехранилище;Самарская область, Автозаводский район, г. Тольятти, ул. Дзержинского, д. 1;96,3;Оперативное управление
111;П1300000008619;63:09:0101153:13800;Нежилое здание;Школа;Самарская область, Автозаводский район, г. Тольятти, б-р Цветной, д. 13;13118,6;Оперативное управление
112;П1300000008613;63:09:0101154:6373;Нежилое здание;Нежилое здание Школа № 86;Самарская область, Автозаводский район, г. Тольятти, ул. 40 лет Победы, д. 44;9818,9;Оперативное управление
113;П1300000008841;63:09:0101154:6431;Нежилое здание;ЦТП № 173;Самарская область, Автозаводский район, г. Тольятти, ул. 70 лет Октября, д. 9, стр. Б;128,7;Казна
114;П1300000008785;63:09:0101154:6435;Нежилое здание;Детский сад;Самарская область, Автозаводский район, г. Тольятти, ул. 40 лет Победы, д. 32;4757,6;Оперативное управление
115;П1300000008786;63:09:0101154:6438;Нежилое здание;Хозпостройка (овощехранилище);Самарская область, Автозаводский район, г. Тольятти, ул. 40 лет Победы, д. 32, стр.;93,2;Оперативное управление
116;П1300000007535;63:09:0101154:6440;Нежилое здание;Детский сад;Самарская область, Центральный район, г. Тольятти, б-р 50 лет Октября, д. 12;1626,3;Оперативное управление
117;П1300000007133;63:09:0101154:6442;Нежилое здание;Детский сад;Самарская область, Центральный район, г. Тольятти, б-р 50 лет Октября, д. 17;2246,1;Оперативное управление
118;П1300000009302;63:09:0101154:6443;Нежилое здание;Склад;Самарская область, Центральный район, г. Тольятти, б-р 50 лет Октября, д. 17;128,5;Оперативное управление
119;П1300000007135;63:09:0101154:6447;Нежилое здание;ясли-сад;Самарская область, Центральный район, г. Тольятти, б-р 50 лет Октября, д. 21;2363,3;Оперативное управление
120;П1300000008108;63:09:0101154:6448;Нежилое здание;Овощехранилище;Самарская область, Центральный район, г. Тольятти, б-р 50 лет Октября, д. 21;115,6;Оперативное управление
121;П1300000009124;63:09:0101154:6450;Нежилое здание;Склад;Самарская область, Центральный район, г. Тольятти, б-р 50 лет Октября, д. 40, стр.;98,6;Оперативное управление
122;П1300000008390;63:09:0101154:6452;Нежилое здание;Детский сад;Самарская область, Центральный район, г. Тольятти, б-р 50 лет Октября, д. 40;3015,5;Оперативное управление
123;П1300000009298;63:09:0101154:6457;Нежилое здание;Склад;Самарская область, Центральный район, г. Тольятти, б-р 50 лет Октября, д. 61;31,8;Оперативное управление
124;П1300000007781;63:09:0101154:6461;Нежилое здание;Школа;Самарская область, Центральный район, г. Тольятти, б-р 50 лет Октября, д. 61;6352,9;Оперативное управление
125;П1300000009300;63:09:0101154:6462;Нежилое здание;Теплица;Самарская область, Центральный район, г. Тольятти, б-р 50 лет Октября, д. 61;85,8;Оперативное управление
126;П1300000008988;63:09:0101154:6470;Нежилое здание;Хозблок;Самарская область, Центральный район, г. Тольятти, б-р 50 лет Октября, д. 12;90,3;Оперативное управление
127;П1300000009289;63:09:0101154:7435;Нежилое здание;Нежилое здание;Самарская область, Автозаводский район, г. Тольятти, ул. 40 лет Победы, д. 44, стр. А;329;Оперативное управление
128;П1300000014014;63:09:0101154:7450;Нежилое здание;Хозблок;Самарская область, Автозаводский район, г. Тольятти, ул. 40 лет Победы, д. 42;285,8;Оперативное управление
129;П1300000012874;63:09:0101155:6634;Нежилое здание;Нежилое здание;Самарская область, Автозаводский район, г. Тольятти, б-р Солнечный, д. 3;5881,8;Оперативное управление
130;П1300000014301;63:09:0101155:9428;Нежилое здание;Нежилое здание ТП-1803 (трансформаторная подстанция);Самарская область, Автозаводский район, г. Тольятти, ул. 70 лет Октября, здание 78А;53,9;Казна
131;П1300000014300;63:09:0101155:9429;Нежилое здание;Нежилое здание ТП-1802 (трансформаторная подстанция);Самарская область, Автозаводский район, г. Тольятти, ул. Автостроителей, здание 16А;53,9;Казна
132;П1300000014431;63:09:0101155:9737;Нежилое здание;Нежилое здание ТП-1801;Самарская область, Автозаводский район, г. Тольятти, ул. Автостроителей, д. 4Б;53,9;Казна
133;П1300000008648;63:09:0101156:10043;Нежилое здание;Школа;Самарская область, Автозаводский район, г. Тольятти, б-р Татищева, д. 19;16165,2;Оперативное управление
134;П1300000009265;63:09:0101156:10047;Нежилое здание;ЦТП-191;Самарская область, Автозаводский район, г. Тольятти, ул. Тополиная, д. 16, стр. А;116,8;Казна
135;П1300000013765;63:09:0101156:11314;Нежилое здание;Нежилое здание: подвал (лит.А1) поз. №№1-6, 1 этаж (лит.А) поз. №№ 1-18;Самарская область, Автозаводский район, г. Тольятти, б-р Татищева, д. 19;383,5;Оперативное управление
136;П1300000014318;63:09:0101156:11443;Нежилое здание;Нежилое здание ТП-1901 (трансформаторная подстанция);Самарская область, Автозаводский район, г. Тольятти, ул. 70 лет Октября, здание 60Б;58,5;Казна
137;П1300000014319;63:09:0101156:11446;Нежилое здание;Нежилое здание ТП-1904 (трансформаторная подстанция);Самарская область, Автозаводский район, г. Тольятти, ул. 70 лет Октября, здание 58В;43,9;Казна
138;П1300000014320;63:09:0101156:11447;Нежилое здание;Нежилое здание ТП-1905 (трансформаторная подстанция);Самарская область, Автозаводский район, г. Тольятти, б-р Татищева, здание 7Б;54,3;Казна
139;П1300000014308;63:09:0101156:11449;Нежилое здание;Нежилое здание ТП-1916 (трансформаторная подстанция);Самарская область, Автозаводский район, г. Тольятти, ул. 70 лет Октября, здание 64А;50,1;Казна
140;П1300000014303;63:09:0101156:11450;Нежилое здание;Нежилое здание ТП-1909 (трансформаторная подстанция);Самарская область, Автозаводский район, г. Тольятти, ул. 70 лет Октября, здание 36А;55;Казна
141;П1300000014306;63:09:0101156:11451;Нежилое здание;Нежилое здание ТП-1914 (трансформаторная подстанция);Самарская область, Автозаводский район, г. Тольятти, ш. Южное, здание 59А;54,1;Казна
142;П1300000014305;63:09:0101156:11452;Нежилое здание;Нежилое здание ТП-1912 (трансформаторная подстанция);Самарская область, Автозаводский район, г. Тольятти, б-р Татищева, здание 6Б;54,1;Казна
143;П1300000014307;63:09:0101156:11453;Нежилое здание;Нежилое здание ТП-1915 (трансформаторная подстанция);Самарская область, Автозаводский район, г. Тольятти, ш. Южное, зданием 51Б;54,1;Казна
144;П1300000014296;63:09:0101156:11456;Нежилое здание;Нежилое здание РП-19;Самарская область, Автозаводский район, г. Тольятти, ул. Автостроителей, здание 9Б;140,3;Казна
145;П1300000014302;63:09:0101156:11457;Нежилое здание;Нежилое здание ТП-1903 (трансформаторная подстанция);Самарская область, Автозаводский район, г. Тольятти, б-р Татищева, здание 21А;50,9;Казна
146;П1300000014304;63:09:0101156:11458;Нежилое здание;Нежилое здание ТП-1911 (трансформаторная подстанция);Самарская область, Автозаводский район, г. Тольятти, б-р Татищева, здание 1Б;55,5;Казна
147;П1300000014512;63:09:0101156:11462;Нежилое здание;Нежилое здание ТП-1913 (трансформаторная подстанция);Самарская область, Автозаводский район, г. Тольятти, ш. Южное, здание 67Б;55,5;Казна
148;П1300000014427;63:09:0101156:11734;Нежилое здание;Нежилое здание ТП-1902 (трансформаторная подстанция);Самарская область, Автозаводский район, г. Тольятти, б-р Татищева, здание 17А;52,9;Казна
149;П1300000014424;63:09:0101156:11735;Нежилое здание;Нежилое здание ТП-1906 (трансформаторная подстанция);Самарская область, Автозаводский район, г. Тольятти, ул. 70 лет Октября, здание 46А;54,6;Казна
150;П1300000014428;63:09:0101156:11736;Нежилое здание;Нежилое здание ТП-1907;Самарская область, Автозаводский район, г. Тольятти, ул. 70 лет Октября, д. 42А;54,5;Казна
151;П1300000014432;63:09:0101156:11737;Нежилое здание;Нежилое здание ТП-1908;Самарская область, Автозаводский район, г. Тольятти, ул. Тополиная, д. 18А;56,3;Казна
152;П1300000014429;63:09:0101156:11738;Нежилое здание;Нежилое здание ТП-1910;Самарская область, Автозаводский район, г. Тольятти, ул. Тополиная, д. 6А;53,5;Казна
153;П1300000014619;63:09:0101156:11755;Нежилое здание;Нежилое здание ЦТП-192;Самарская область, Автозаводский район, г. Тольятти, ул. 70 лет Октября, д. 50-а;102,1;
154;П1300000007350;63:09:0101156:698;Нежилое здание;Тяговая подстанция № 6;Самарская область, Автозаводский район, г. Тольятти, б-р Татищева, д. 10-А;195;Хозяйственное ведение
155;П1300000013212;63:09:0101157:10765;Нежилое здание;ТП-2020 (трансформаторная подстанция);Самарская область, Автозаводский район, г. Тольятти, б-р Рябиновый, д. 2, стр. Б;45,5;Казна
156;П1300000008844;63:09:0101157:11147;Нежилое здание;Склад;Самарская область, Автозаводский район, г. Тольятти, ул. Тополиная, д. 18, стр.;101,6;Оперативное управление
157;П1300000008843;63:09:0101157:11148;Нежилое здание;Теплица;Самарская область, Автозаводский район, г. Тольятти, ул. Тополиная, д. 18, стр.;251;Оперативное управление
158;П1300000008643;63:09:0101157:11149;Нежилое здание;Школа;Самарская область, Автозаводский район, г. Тольятти, ул. Тополиная, д. 18;13949,6;Оперативное управление
159;П1300000014268;63:09:0101157:12878;Нежилое здание;Детский сад;Самарская область, Автозаводский район, г. Тольятти, ш. Южное, д. 41;8952,1;Оперативное управление
160;П1300000014396;63:09:0101157:13175;Нежилое здание;Общеобразовательная школа на 1600 мест;Самарская область, Автозаводский район, г. Тольятти, ул. Льва Яшина, д. 18;32143,3;Оперативное управление
161;П1300000014402;63:09:0101157:13176;Нежилое здание;Трансформаторная подстанция комплектная блочная в железобетонной оболочке;Самарская область, Автозаводский район, г. Тольятти, ул. Льва Яшина, д. 18;34,7;Казна
162;П1300000006738;63:09:0101158:4521;Нежилое здание;Хозблок;Самарская область, Автозаводский район, г. Тольятти, ул. 40 лет Победы, д. 10;287,8;Оперативное управление
163;П1300000014270;63:09:0101158:5205;Нежилое здание;Нежилое здание;Самарская область, Автозаводский район, г. Тольятти, ул. 40 лет Победы, д. 8;1432,8;Оперативное управление
164;П1300000014399;63:09:0101158:5212;Нежилое здание;Нежилое здание ЦТП-212;Самарская область, Автозаводский район, г. Тольятти, восточнее жилого дома, имеющего адрес: ул. Льва Яшина, д. 3;134,6;Казна
165;П1300000010946;63:09:0101158:549;Нежилое здание;Средняя общеобразовательная школа (ПОЗ. 37-Ш-I);Самарская область, Автозаводский район, г. Тольятти, ул. 40 лет Победы, д. 10;13617;Оперативное управление
166;П1300000011371;63:09:0101159:10330;Нежилое здание;Овощехранилище;Самарская область, Автозаводский район, г. Тольятти, ул. Дзержинского, д. 67, стр.;50,1;Казна
